cell_specimen_id,axon.total_length,all_neurites.total_length,basal_dendrite.total_length,dendrite.total_length,dendrite.total_surface_area,axon.total_surface_area,all_neurites.total_surface_area,basal_dendrite.total_surface_area,dendrite.total_volume,axon.total_volume,all_neurites.total_volume,basal_dendrite.total_volume,dendrite.num_tips,axon.num_tips,all_neurites.num_tips,basal_dendrite.num_tips,dendrite.num_nodes,axon.num_nodes,all_neurites.num_nodes,basal_dendrite.num_nodes,dendrite.num_branches,axon.num_branches,all_neurites.num_branches,basal_dendrite.num_branches
827447865,27338.24574,29860.26822,2522.022489,2522.022489,4029.956988,19650.63259,25021.71392,4029.956988,526.3773817,1124.016184,3660.39835,526.3773817,32,264,296,32,1565,16169,17735,1565,59,527,590,59
827524052,8436.331785,10231.42463,1795.092846,1795.092846,3269.313277,6064.004909,9983.995421,3269.313277,487.2433516,346.8610808,1770.057224,487.2433516,25,119,144,25,1231,5505,6737,1231,47,237,286,47
827573535,12387.43914,14237.20903,1848.726813,1848.726813,2861.407557,8905.151429,12545.54048,2861.407557,353.2688547,509.4873214,1819.395113,353.2688547,26,182,208,26,1442,8701,10144,1442,45,363,414,45
828803869,14011.00732,15963.66935,1951.457666,1951.457666,3068.269589,10071.56531,14197.0944,3068.269589,387.5793421,576.1445992,2530.768168,387.5793421,39,174,213,39,1363,9039,10403,1363,72,347,424,72
829170676,17961.17054,23167.09359,5205.923051,5205.923051,8219.887495,12916.67724,22184.43304,8219.887495,1040.769622,740.6310139,3409.542275,1040.769622,55,286,341,55,3934,14042,17977,3934,105,571,680,105
829185764,11768.16113,16200.94321,4431.683196,4431.683196,7659.33649,8459.835492,16421.95095,7659.33649,1137.565282,484.023506,2061.875469,1137.565282,40,180,220,40,3440,8812,12253,3440,78,359,438,78
829195312,9908.157495,11972.29713,2062.986325,2062.986325,4162.157283,8545.900581,12980.35079,4162.157283,692.3385127,609.8273494,1610.45849,692.3385127,28,137,165,28,1618,7936,9555,1618,55,273,328,55
830434392,15197.42663,20044.8595,4846.193587,4846.193587,8726.728002,10923.85554,23220.78532,8726.728002,1384.044629,624.8445367,11333.80665,1384.044629,38,85,123,38,3426,9950,13377,3426,69,169,244,69
831175106,30.68208553,4759.4171,2685.406657,4728.735014,10328.3517,50.27023212,12432.9792,5381.815108,1991.833901,13.33601178,5923.27834,890.478292,38,1,39,23,3170,24,3195,1852,70,1,76,41
831988252,12918.99999,17789.24246,4869.110341,4869.110341,10289.59921,11387.74127,22347.40626,10289.59921,1827.76573,830.5915898,3845.023432,1827.76573,50,173,223,50,3528,8962,12491,3528,97,345,444,97
836844418,8469.054859,10398.60875,1928.812094,1928.812094,3960.633474,7514.556012,11651.39844,3960.633474,688.4323064,551.7474138,1442.530722,688.4323064,24,152,176,24,1091,5544,6636,1091,46,303,350,46
837594867,23267.13299,25909.79569,2642.662702,2642.662702,4843.940316,17654.27431,23656.24218,4843.940316,741.7008118,1114.394851,3750.582439,741.7008118,27,276,303,27,1608,14617,16226,1608,49,551,604,49
841718359,12634.39533,15610.28248,2975.230239,2975.230239,5618.951239,13234.59069,19261.35579,5618.951239,901.8108301,1113.046591,2513.461477,901.8108301,29,160,189,29,2200,8928,11129,2200,54,319,376,54
841834394,19464.98292,23250.72507,3783.727738,3783.727738,7732.711941,13993.44401,22537.71432,7732.711941,1333.59027,800.7118369,3281.699217,1333.59027,39,213,252,39,2496,12386,14883,2496,73,425,502,73
842841654,16168.50603,19234.29775,3065.791722,3065.791722,5100.17736,11625.02811,17637.50269,5100.17736,692.953114,665.6799233,2492.698243,692.953114,31,239,270,31,2329,11118,13448,2329,55,477,538,55
842844583,27648.48975,32353.02228,4703.197413,4703.197413,7386.194965,27891.77838,36087.64425,7386.194965,930.1370359,2281.974942,4417.21647,930.1370359,41,368,409,41,3516,19427,22944,3516,79,735,816,79
843366621,9649.655077,12217.78096,2567.856988,2567.856988,4142.681349,6936.137322,11829.71247,4142.681349,545.5709195,396.7470548,2124.502659,545.5709195,24,73,97,24,1717,6920,8638,1717,44,145,192,44
844757902,18556.89703,21217.45844,2659.781451,2659.781451,5397.676715,13338.63076,19681.91103,5397.676715,943.1423871,762.9696797,3007.594037,943.1423871,28,224,252,28,1972,13808,15781,1972,49,447,502,49
844870606,6070.907786,7777.102127,1704.557111,1704.557111,2879.29512,4363.746656,7539.00015,2879.29512,413.5868522,249.6063087,1007.019279,413.5868522,16,56,72,16,1326,4271,5598,1326,29,111,142,29
844965212,16452.33507,23216.49876,6762.884275,6762.884275,10368.43938,15509.95794,27838.6893,10368.43938,1282.756105,1201.85221,5935.259601,1282.756105,50,183,233,50,4677,10350,15028,4677,92,365,464,92
846902552,12180.14082,15254.56344,3069.826811,3069.826811,6262.203699,12638.04008,20607.42076,6262.203699,1088.66703,1055.452222,4681.779923,1088.66703,29,166,195,29,2180,8510,10691,2180,48,331,388,48
847083836,13076.56867,16027.04214,2949.677568,2949.677568,5090.746522,13399.92386,20226.96724,5090.746522,717.2543043,1109.217545,4776.208585,717.2543043,30,152,182,30,1984,8568,10553,1984,53,303,362,53
